Zone17,HH
1489,424
1490,1076
1491,2577
1492,2934
1493,958
1494,1039
1495,960
1496,1645
1497,998
1498,817
1499,886
1500,703
1501,753
1502,1300
1503,804
1504,621
1505,715
1506,1159
1507,2352
1508,2449
1509,4090
1510,1541
1511,174
1512,1398
1513,974
1514,875
1515,1094
1516,299
1517,187
1518,376
1519,484
1520,140
1521,0
1522,1042
1523,983
1524,2243
1525,970
1526,1361
1527,512
1528,648
1529,427
1530,192
1531,958
1532,291
1533,377
1534,856
1535,313
1536,605
1537,825
1538,474
1539,1090
1540,1199
1541,13
1542,532
1543,708
1544,724
1545,432
1546,1027
1547,0
1548,402
1549,2175
1550,130
1551,81
1552,3008
1553,273
1554,2108
1555,1811
1556,868
1557,451
1558,20
1559,736
1560,2584
1561,2261
1562,1309
1563,2073
1564,382
1565,1151
1566,2157
1567,2026
1568,2188
1569,2460
1570,5032
1571,3630
1572,5646
1573,815
1574,2577
1575,909
1576,2724
1577,1200
1578,1603
1579,3148
1580,3327
1581,2147
1582,1509
1583,152
1584,248
1585,539
1586,547
1587,1296
1588,598
1589,626
1590,502
1591,1978
1592,646
1593,2393
1594,1572
1595,1701
1596,232
1597,1225
1598,592
1599,797
1600,1106
1601,2544
1602,994
1603,410
1604,1116
1605,1933
1606,1044
1607,491
1608,198
1609,1140
1610,583
1611,209
1612,1651
1613,1428
1614,1651
1615,2390
1616,1421
1617,578
1618,0
1619,5662
1620,1667
1621,1530
1622,2745
1623,2381
1624,1896
1625,1803
1626,2101
1627,4522
1628,507
1629,758
1630,734
1631,741
1632,2715
1633,1303
1634,2125
1635,2106
1636,1027
1637,1506
1638,1071
1639,502
1640,1985
1641,1490
1642,2460
1643,1485
1644,831
1645,17
1646,1763
1647,665
1648,1109
1649,2405
1650,1477
1651,370
1652,846
1653,251
1654,1798
1655,2998
1656,170
1657,2322
1658,1826
1659,624
1660,2524
1661,1157
1662,1529
1663,1551
1664,1811
1665,2731
1666,1958
1667,1780
1668,2796
1669,1522
1670,1585
1671,1268
1672,1386
1673,3074
